,Adj Close,Close,High,Low,Open,Volume
2024-01-10 18:30:00,185.625,185.625,185.67999267578125,184.35499572753903,184.3800048828125,0
2024-01-10 19:30:00,185.8249969482422,185.8249969482422,186.3999938964844,185.6199951171875,185.6300048828125,7533201
2024-01-10 20:30:00,186.13999938964844,186.13999938964844,186.2700042724609,185.2700042724609,185.8300018310547,5937690
2024-01-11 14:30:00,184.3699951171875,184.3699951171875,187.0500030517578,183.6199951171875,186.5399932861328,13337967
2024-01-11 15:30:00,184.19000244140625,184.19000244140625,184.8800048828125,183.8350067138672,184.3650054931641,5619114
2024-01-11 16:30:00,184.0500030517578,184.0500030517578,184.4499969482422,183.8350067138672,184.18499755859372,3849444
2024-01-11 17:30:00,184.65499877929688,184.65499877929688,184.77720642089844,184.0749969482422,184.0749969482422,4000614
2024-01-11 18:30:00,185.51499938964844,185.51499938964844,185.5399932861328,184.55999755859372,184.6699981689453,3924789
2024-01-11 19:30:00,185.3699951171875,185.3699951171875,185.6999969482422,184.7550048828125,185.5200042724609,4502053
2024-01-11 20:30:00,185.5800018310547,185.5800018310547,185.7700042724609,185.32000732421875,185.3699951171875,5030776
2024-01-12 14:30:00,185.7899932861328,185.7899932861328,186.7400054931641,185.4850006103516,186.05999755859372,8367726
2024-01-12 15:30:00,185.875,185.875,186.05999755859372,185.19000244140625,185.8000030517578,4645419
2024-01-12 16:30:00,185.6199951171875,185.6199951171875,185.9250030517578,185.38999938964844,185.875,3521446
2024-01-12 17:30:00,185.79379272460935,185.79379272460935,185.83999633789065,185.42999267578125,185.6150054931641,2308362
2024-01-12 18:30:00,185.6100006103516,185.6100006103516,186.06689453125,185.6000061035156,185.8000030517578,2732716
2024-01-12 19:30:00,185.51499938964844,185.51499938964844,185.6100006103516,185.22000122070312,185.60330200195312,3823230
2024-01-12 20:30:00,185.9199981689453,185.9199981689453,185.97999572753903,185.4658966064453,185.5200042724609,4865441
2024-01-16 14:30:00,182.75999450683597,182.75999450683597,182.8500061035156,180.9340057373047,182.5,16725135
2024-01-16 15:30:00,183.9499969482422,183.9499969482422,184.25999450683597,182.5200042724609,182.7700042724609,11408997
2024-01-16 16:30:00,182.4149932861328,182.4149932861328,184.16000366210935,182.3800048828125,183.9600067138672,5404103
2024-01-16 17:30:00,182.7350006103516,182.7350006103516,182.92999267578125,182.2100067138672,182.4199981689453,4292807
2024-01-16 18:30:00,182.45860290527344,182.45860290527344,182.9499053955078,182.13999938964844,182.75,6561011
2024-01-16 19:30:00,183.1699981689453,183.1699981689453,183.25999450683597,182.2700042724609,182.4550018310547,4502430
2024-01-16 20:30:00,183.6100006103516,183.6100006103516,183.6300048828125,183.13499450683597,183.17999267578125,4776796
