Interval,Date_Predicted,Target_Date,Horizon,Current_Price,Predicted_Price,Predicted_Max,Predicted_Min,Direction,Confidence,Actual_Price,Is_Correct
1d,2026-02-04 00:00,2026-02-05 00:00,1d,276.49,298.64,305.34,291.94,UP ▲,73.7%,276.27,0.0
1d,2026-02-04 00:00,2026-02-11 00:00,5d,276.49,299.52,312.34,286.71,UP ▲,84.7%,,
1d,2026-02-04 00:00,2026-03-06 00:00,21d,276.49,302.32,323.72,280.93,UP ▲,96.8%,,
1d,2026-02-05 00:00,2026-02-06 00:00,1d,276.27,293.54,300.7,286.39,UP ▲,69.9%,,
1d,2026-02-05 00:00,2026-02-12 00:00,5d,276.27,294.36,307.27,281.44,UP ▲,85.3%,,
1d,2026-02-05 00:00,2026-03-07 00:00,21d,276.27,296.66,318.61,274.71,UP ▲,96.4%,,
