Date,Close,High,Low,Open,Volume
1980-12-12,0.09838943183422089,0.0988171882326945,0.09838943183422089,0.09838943183422089,469033600
1980-12-15,0.09325643628835678,0.09368419287606412,0.09325643628835678,0.09368419287606412,175884800
1980-12-16,0.08641161024570465,0.08683936111701215,0.08641161024570465,0.08683936111701215,105728000
1980-12-17,0.08855035901069641,0.08897811551130588,0.08855035901069641,0.08855035901069641,86441600
1980-12-18,0.09111768752336502,0.09154543847956864,0.09111768752336502,0.09111768752336502,73449600
1980-12-19,0.09667843580245972,0.09710619228119054,0.09667843580245972,0.09667843580245972,48630400
1980-12-22,0.1013837531208992,0.10181227501943076,0.1013837531208992,0.1013837531208992,37363200
1980-12-23,0.10566205531358719,0.10608981189446903,0.10566205531358719,0.10566205531358719,46950400
1980-12-24,0.11122291535139084,0.1116506721582421,0.11122291535139084,0.11122291535139084,48003200
1980-12-26,0.12148973345756531,0.12191749011632347,0.12148973345756531,0.12148973345756531,55574400
1980-12-29,0.12320074439048767,0.12362850103438859,0.12320074439048767,0.12320074439048767,93161600
1980-12-30,0.12020646035671234,0.12063420554071541,0.12020646035671234,0.12063420554071541,68880000
1980-12-31,0.11678439378738403,0.11721215026046519,0.11678439378738403,0.11721215026046519,35750400
1981-01-02,0.11806770414113998,0.1189232174666824,0.11806770414113998,0.11806770414113998,21660800
1981-01-05,0.11550121009349823,0.11592895541876583,0.11550121009349822,0.11592895541876583,35728000
1981-01-06,0.11036734282970428,0.11079509940824274,0.11036734282970428,0.11079509940824274,45158400
1981-01-07,0.10566205531358719,0.10608981189446903,0.10566205531358719,0.10608981189446903,55686400
1981-01-08,0.10352327674627304,0.10395102182769188,0.10352327674627304,0.10395102182769188,39827200
1981-01-09,0.10908409208059311,0.10951184868879076,0.10908409208059311,0.10908409208059311,21504000
1981-01-12,0.10822861641645432,0.10908411841640318,0.10822861641645432,0.10908411841640318,23699200
1981-01-13,0.10437881201505661,0.10480656865749678,0.10437881201505661,0.10480656865749678,23049600
1981-01-14,0.10480660200119019,0.10523435877971904,0.10480660200119019,0.10480660200119019,14291200
1981-01-15,0.10694534331560135,0.10780084520044292,0.10694534331560133,0.10694534331560133,14067200
1981-01-16,0.10608982294797897,0.1065175795734288,0.10608982294797897,0.1065175795734288,13395200
1981-01-19,0.11250618100166321,0.11293393783380858,0.11250618100166321,0.11250618100166321,41574400
1981-01-20,0.10908409208059311,0.10951184868879076,0.10908409208059311,0.10951184868879076,30083200
