Date,Adj Close,Close,High,Low,Open,Volume
2025-11-06 14:30:00,245.9499969482422,245.9499969482422,246.0800018310547,237.27000427246094,237.8000030517578,3079055
2025-11-06 14:45:00,241.5998992919922,241.5998992919922,246.41000366210938,241.3000030517578,245.94000244140625,1924057
2025-11-06 15:00:00,237.6179962158203,237.6179962158203,241.77499389648438,236.5800018310547,241.47999572753906,1957875
2025-11-06 15:15:00,239.8197021484375,239.8197021484375,240.77000427246094,236.5,237.6999969482422,1051405
2025-11-06 15:30:00,236.2899932861328,236.2899932861328,240.5,236.07000732421875,239.92999267578125,1093294
2025-11-06 15:45:00,235.8498992919922,235.8498992919922,238.25999450683594,235.35000610351562,236.39999389648438,795025
2025-11-06 16:00:00,238.80499267578125,238.80499267578125,240.64999389648438,235.83999633789062,235.83999633789062,716795
2025-11-06 16:15:00,238.67999267578125,238.67999267578125,239.30999755859375,237.25010681152344,238.8800048828125,465468
2025-11-06 16:30:00,236.16000366210938,236.16000366210938,239.0998992919922,235.5,238.6199951171875,525937
2025-11-06 16:45:00,236.71499633789062,236.71499633789062,237.22999572753906,234.8800048828125,236.02999877929688,493006
2025-11-06 17:00:00,238.0,238.0,239.13479614257812,236.67999267578125,236.67999267578125,697727
2025-11-06 17:15:00,236.3300018310547,236.3300018310547,238.48800659179688,235.8000030517578,238.02999877929688,532678
2025-11-06 17:30:00,238.11000061035156,238.11000061035156,238.5,236.0,236.27999877929688,312380
2025-11-06 17:45:00,240.1750030517578,240.1750030517578,241.1699981689453,237.92999267578125,238.1719970703125,553100
2025-11-06 18:00:00,237.52439880371094,237.52439880371094,240.6199951171875,237.14999389648438,240.1999969482422,452872
2025-11-06 18:15:00,239.39999389648438,239.39999389648438,239.55990600585938,236.75999450683594,237.50999450683594,314915
2025-11-06 18:30:00,240.5500030517578,240.5500030517578,240.781494140625,239.36000061035156,239.38330078125,432612
2025-11-06 18:45:00,239.15170288085938,239.15170288085938,240.5,238.60000610351562,240.4600067138672,454946
2025-11-06 19:00:00,240.5500030517578,240.5500030517578,240.82919311523438,238.72999572753906,239.14999389648438,428757
2025-11-06 19:15:00,241.77000427246094,241.77000427246094,242.03599548339844,240.05999755859375,240.5,425257
2025-11-06 19:30:00,241.5,241.5,242.10000610351562,240.97999572753906,241.81959533691406,386570
2025-11-06 19:45:00,241.30999755859375,241.30999755859375,241.86000061035156,240.5,241.375,487376
2025-11-06 20:00:00,240.2550048828125,240.2550048828125,242.00999450683594,239.89999389648438,241.27000427246094,408825
2025-11-06 20:15:00,240.1300048828125,240.1300048828125,241.01260375976562,239.08009338378906,240.27999877929688,474526
