Date,Close,High,Low,Open,Volume
2024-10-18,22.04616355895996,22.192112534141366,21.873149305257986,21.873149305257986,2500
2024-10-21,22.46178436279297,22.46178436279297,22.46178436279297,22.46178436279297,100
2024-10-22,22.710189819335938,22.811677711134855,22.710189819335938,22.81071168651537,2200
2024-10-23,23.32298469543457,23.32298469543457,23.041718518953488,23.041718518953488,2300
2024-10-24,22.936359405517578,22.936359405517578,22.936359405517578,22.936359405517578,100
2024-10-25,22.73338508605957,22.73338508605957,22.73338508605957,22.73338508605957,100
2024-10-28,23.052349090576172,23.052349090576172,23.052349090576172,23.052349090576172,100
2024-10-29,22.80104637145996,22.80104637145996,22.80104637145996,22.80104637145996,100
2024-10-30,23.490198135375977,23.535627099878003,23.490198135375977,23.535627099878003,1800
2024-10-31,24.47511863708496,24.47511863708496,24.47511863708496,24.47511863708496,100
2024-11-01,24.52054786682129,24.52054786682129,24.52054786682129,24.52054786682129,300
2024-11-04,24.01214027404785,24.01214027404785,24.01214027404785,24.01214027404785,0
2024-11-05,23.162538528442383,23.162538528442383,23.162538528442383,23.162538528442383,0
2024-11-06,21.77649688720703,21.77649688720703,21.77649688720703,21.77649688720703,100
2024-11-07,21.476863861083984,21.476863861083984,21.476863861083984,21.476863861083984,100
2024-11-08,21.77649688720703,21.77649688720703,21.77649688720703,21.77649688720703,300
2024-11-11,22.4144229888916,22.4144229888916,22.4144229888916,22.4144229888916,100
2024-11-12,23.36164665222168,23.36164665222168,23.36164665222168,23.36164665222168,100
2024-11-13,24.247976303100586,24.247976303100586,24.247976303100586,24.247976303100586,100
2024-11-14,24.455787658691406,24.455787658691406,24.455787658691406,24.455787658691406,100
2024-11-15,25.14301109313965,25.14301109313965,25.14301109313965,25.14301109313965,0
2024-11-18,24.861743927001953,25.285095025667157,24.861743927001953,25.285095025667157,200
2024-11-19,24.808582305908203,24.808582305908203,24.808582305908203,24.808582305908203,100
2024-11-20,24.6780948638916,24.869472810477152,24.6780948638916,24.869472810477152,1100
2024-11-21,23.550125122070312,23.550125122070312,23.550125122070312,23.550125122070312,100
2024-11-22,23.605220794677734,23.605220794677734,23.605220794677734,23.605220794677734,100
2024-11-25,23.17703628540039,23.17703628540039,23.17703628540039,23.17703628540039,100
2024-11-26,23.808195114135742,23.808195114135742,23.158668960879556,23.158668960879556,200
2024-11-27,24.656831741333008,24.656831741333008,24.540844266803443,24.540844266803443,700
2024-11-29,24.743824005126953,24.743824005126953,24.743824005126953,24.743824005126953,100
2024-12-02,24.58917236328125,24.58917236328125,24.366863197836153,24.366863197836153,600
2024-12-03,24.260543823242188,24.260543823242188,24.260543823242188,24.260543823242188,200
2024-12-04,23.448637008666992,23.448637008666992,23.448637008666992,23.448637008666992,100
2024-12-05,23.989910125732422,23.989910125732422,23.989910125732422,23.989910125732422,100
2024-12-06,23.92224884033203,23.92224884033203,23.92224884033203,23.92224884033203,100
2024-12-09,23.545291900634766,23.545291900634766,23.545291900634766,23.545291900634766,100
2024-12-10,24.618165969848633,24.618165969848633,24.618165969848633,24.618165969848633,100
2024-12-11,23.651611328125,23.951244846637714,23.603284292782032,23.951244846637714,500
2024-12-12,24.488651275634766,24.627834401453345,23.989907900704935,23.989907900704935,1500
2024-12-13,23.48729705810547,23.99957211814982,23.48729705810547,23.99957211814982,4100
2024-12-16,22.182449340820312,22.79137849131654,21.621847227635836,22.79137849131654,20600
2024-12-17,22.10512351989746,22.10512351989746,21.825787584463516,21.834487335514947,2300
2024-12-18,23.139341354370117,23.139341354370117,21.69917374565232,21.815159384127607,56600
2024-12-19,26.839311599731445,27.218201530732134,25.952014397835256,26.164655934765364,40000
2024-12-20,25.894023895263672,27.672484399229305,25.884358118601668,27.401850026926777,21100
2024-12-23,26.018369674682617,26.345748515424553,25.830878885215515,25.86973595666583,20300
2024-12-24,26.17865753173828,26.336033207257582,26.072770115138514,26.180601219071182,8400
2024-12-26,25.927051544189453,26.316604292871975,25.753162860753342,26.277745368569416,6400
2024-12-27,26.33506202697754,26.598325134989665,26.18060279958069,26.200030409605233,8700
2024-12-30,27.2579402923584,27.44348739585767,27.0451926827689,27.317199596566685,4400
2024-12-31,27.661094665527344,27.661094665527344,27.181196557537753,27.190911289178374,1700
2025-01-02,26.641067504882812,27.453200833222034,26.598323060371666,27.453200833222034,25200
2025-01-03,25.870710372924805,26.374892533992426,25.870710372924805,26.268034191033163,4200
2025-01-06,23.172988891601562,23.557683343027062,22.59400352711662,23.516882584805764,33100
2025-01-07,22.535717010498047,22.535717010498047,21.57592271569807,22.353084515597008,17000
2025-01-08,23.106929779052734,23.28567675447495,22.361826766897963,22.361826766897963,14700
2025-01-10,23.122472763061523,23.421680167972912,23.071957275294547,23.421680167972912,4500
2025-01-13,24.12986946105957,24.5475917894477,24.12986946105957,24.5475917894477,3700
2025-01-14,23.593626022338867,23.897689853413283,23.593626022338867,23.714084601283542,6800
2025-01-15,22.1772518157959,23.003956322424063,22.068447942524305,22.97578304722278,6200
2025-01-16,22.257883071899414,22.440515569471717,21.95867565412378,22.31422591817682,8500
2025-01-17,21.66918182373047,22.10050622637405,21.66918182373047,22.10050622637405,2800
2025-01-21,20.91533851623535,21.517637035813088,20.73950614073975,21.517637035813088,12400
2025-01-22,20.954195022583008,21.19705774069898,20.84733483368542,20.9833392157993,8600
2025-01-23,21.750783920288086,21.992675715368623,21.663353195629952,21.663353195629952,10800
2025-01-24,22.137422561645508,22.137422561645508,21.877074069038137,21.877074069038137,1900
2025-01-27,24.728282928466797,25.316010286426053,23.947235563933262,23.947235563933262,8000
2025-01-28,25.481155395507812,25.539443780694793,25.06343123281171,25.218863220852754,3500
2025-01-29,25.335437774658203,25.607444676273285,25.141146865948084,25.141146865948084,3900
2025-01-30,24.373703002929688,24.76228298874274,24.236727700966405,24.76228298874274,1200
2025-01-31,24.6845645904541,24.6845645904541,23.864660251629164,23.994835414339466,8300
2025-02-03,24.99834442138672,25.38400978458282,24.70399530428412,25.38400978458282,2800
2025-02-04,24.85942840576172,24.85942840576172,24.85942840576172,24.85942840576172,900
2025-02-05,23.985122680664062,24.72342556980004,23.985122680664062,24.72342556980004,2800
2025-02-06,23.761686325073242,23.803459851993274,23.51882361846589,23.527567431885082,3600
2025-02-07,24.3348445892334,24.3348445892334,23.469282953742848,23.469282953742848,3000
2025-02-10,23.44110870361328,23.64025605806654,23.362421790806437,23.470252896787716,3000
2025-02-11,23.89769172668457,23.89769172668457,23.751974467043514,23.751974467043514,2200
2025-02-12,24.490276336669922,25.311153534265262,24.41838954806455,25.311153534265262,5100
2025-02-13,23.44110870361328,23.662600124789826,23.42168109439248,23.662600124789826,6500
2025-02-14,22.46965789794922,22.78052373402828,22.235538993321555,22.42691530464355,7200
2025-02-18,20.82790756225586,21.60506753167396,20.60447244976457,21.284488812677054,12500
2025-02-19,21.352489471435547,21.449634928075287,20.789048046399607,20.789048046399607,13100
2025-02-20,21.595352172851562,21.721641822271543,21.260202293197867,21.260202293197867,8100
2025-02-21,22.518232345581055,22.607604910087517,21.58563851032588,21.58563851032588,15200
2025-02-24,23.26624870300293,23.26624870300293,22.139365860180707,22.139365860180707,6700
2025-02-25,23.790830612182617,23.88311777402064,23.305105197022755,23.305105197022755,16200
2025-02-26,22.654233932495117,23.03309917787447,22.207367422857466,22.985498292893663,11100
2025-02-27,24.04340934753418,24.04340934753418,22.37251449628328,22.634804826419426,11100
2025-02-28,23.596542358398438,24.072553059056915,23.51979728068144,24.072553059056915,5900
2025-03-03,24.354272842407227,24.441703568321287,23.023386197529586,23.023386197529586,6300
2025-03-04,24.179412841796875,25.056632905274846,24.06283976884521,24.791427959927674,14700
